people,state,party,total_senate_years,total_house_years,total_years
James Abdnor,South Dakota,Republican,6,8,14
Neil Abercrombie,Hawaii,Democratic,0,22,22
James Abourezk,South Dakota,Democratic,6,2,8
"Ralph Abraham, Lee",Louisiana,Republican,0,6,6
Spencer Abraham,Michigan,Republican,6,0,6
"Bella Abzug, S.",New York,Democratic,0,6,6
"Acevedo-Vila, Commissioner, Anibal",Puerto Rico,Democratic,0,4,4
"Gary Ackerman, L.",New York,Democratic,0,30,30
"Alma Adams, S.",North Carolina,Democratic,0,7,7
Brock Adams,Washington,Democratic,6,14,20
Sandy Adams,Florida,Republican,0,2,2
"Joseph Addabbo, P.",New York,Democratic,0,26,26
"Robert Aderholt, B.",Alabama,Republican,0,24,24
"John Adler, H.",New Jersey,Democratic,0,2,2
Pete Aguilar,California,Democratic,0,6,6
George Aiken,Vermont,Republican,34,0,34
"Daniel Akaka, K.",Hawaii,Democratic,23,14,37
"W. Akin, Todd",Missouri,Republican,0,12,12
Carl Albert,Oklahoma,Democratic,0,30,30
"Donald Albosta, J.",Michigan,Democratic,0,6,6
Bill Alexander,Arkansas,Democratic,0,24,24
Lamar Alexander,Tennessee,Republican,18,0,18
Rodney Alexander,Louisiana,Republican,0,10,10
Wayne Allard,Colorado,Republican,12,6,18
"Clifford Allen, R.",Tennessee,Democratic,0,4,4
George Allen,Virginia,Republican,6,2,8
"James Allen, B.",Alabama,Democratic,10,0,10
Maryon Allen,Alabama,Democratic,2,0,2
"Rick Allen, W.",Georgia,Republican,0,6,6
"Thomas Allen, H.",Maine,Democratic,0,12,12
"Colin Allred, Z.",Texas,Democratic,0,2,2
Jason Altmire,Pennsylvania,Democratic,0,6,6
Justin Amash,Michigan,Libertarian,0,10,10
"Jerome Ambro, A.",New York,Democratic,0,6,6
"Joseph Ammerman, S.",Pennsylvania,Democratic,0,2,2
"Mark Amodei, E.",Nevada,Republican,0,10,10
"Glenn Anderson, M.",California,Democratic,0,24,24
"John Anderson, B.",Illinois,Republican,0,20,20
"Wendell Anderson, R.",Minnesota,Democratic,2,0,2
Ike Andrews,North Carolina,Democratic,0,12,12
Mark Andrews,North Dakota,Republican,6,18,24
Michael Andrews,Texas,Democratic,0,12,12
"Robert Andrews, E.",New Jersey,Democratic,0,25,25
"Thomas Andrews, H.",Maine,Democratic,0,4,4
Frank Annunzio,Illinois,Democratic,0,28,28
"Beryl, Anthony, Jr.",Arkansas,Democratic,0,14,14
Douglas Applegate,Ohio,Democratic,0,18,18
Bill Archer,Texas,Republican,0,30,30
"Michael Arcuri, A.",New York,Democratic,0,4,4
"Leslie Arends, C.",Illinois,Republican,0,40,40
"Richard Armey, K.",Texas,Republican,0,18,18
Kelly Armstrong,North Dakota,Republican,0,2,2
"William Armstrong, L.",Colorado,Republican,12,6,18
"Jodey Arrington, C.",Texas,Republican,0,4,4
Jean Ashbrook,Ohio,Republican,0,2,2
"John Ashbrook, M.",Ohio,Republican,0,22,22
John Ashcroft,Missouri,Republican,6,0,6
Brad Ashford,Nebraska,Democratic,0,2,2
"Thomas Ashley, L.",Ohio,Democratic,0,26,26
Les Aspin,Wisconsin,Democratic,0,24,24
"Chester Atkins, G.",Massachusetts,Democratic,0,8,8
"Eugene Atkinson, V.",Pennsylvania,Democratic,0,4,4
Jake Auchincloss,Massachusetts,Democratic,0,0,0
Les AuCoin,Oregon,Democratic,0,18,18
Steve Austria,Ohio,Republican,0,4,4
Cynthia Axne,Iowa,Democratic,0,2,2
Kelly Ayotte,New Hampshire,Republican,6,0,6
Brian Babin,Texas,Republican,0,6,6
Joe Baca,California,Democratic,0,14,14
Jim Bacchus,Florida,Democratic,0,4,4
Michele Bachmann,Minnesota,Republican,0,8,8
Spencer Bachus,Alabama,Republican,0,22,22
Don Bacon,Nebraska,Republican,0,4,4
"Robert Badham, E.",California,Republican,0,12,12
Herman Badillo,New York,Democratic,0,8,8
Scotty Baesler,Kentucky,Democratic,0,6,6
L. Bafalis,Florida,Republican,0,10,10
"Donald Bailey, A.",Pennsylvania,Democratic,0,4,4
Wendell Bailey,Missouri,Republican,0,2,2
Brian Baird,Washington,Democratic,0,12,12
