"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"Ocasio-CortezAlexandria Ocasio-Cortez (D)","$20664795","$16434594","79.53%","Raised over $100k"
"TrahanLori Trahan (D)","$1449303","$1151465","79.45%","Raised over $100k"
"SandersBernie Sanders (D)","$21565004","$15151822","70.26%","Raised over $100k"
"HunterDuncan D. Hunter (R)","$1693623","$1142274","67.45%","Raised over $100k"
"JordanJim Jordan (R)","$18313823","$12122206","66.19%","Raised over $100k"
"GaetzMatt Gaetz (R)","$5946646","$3870740","65.09%","Raised over $100k"
"SchiffAdam Schiff (D)","$19382855","$11427347","58.96%","Raised over $100k"
"OmarIlhan Omar (D)","$5718517","$3301638","57.74%","Raised over $100k"
"PelosiNancy Pelosi (D)","$27359508","$15471503","56.55%","Raised over $100k"
"WarrenElizabeth Warren (D)","$37957031","$20998121","55.32%","Raised over $100k"
"AmashJustin Amash (L)","$1001120","$545077","54.45%","Raised over $100k"
"NunesDevin Nunes (R)","$26825212","$14122078","52.64%","Raised over $100k"
"PorterKatie Porter (D)","$16627706","$8647559","52.01%","Raised over $100k"
"CrenshawDan Crenshaw (R)","$19427865","$9714422","50.00%","Raised over $100k"
"PenceGreg Pence (R)","$3114448","$1525884","48.99%","Raised over $100k"
"StefanikElise Stefanik (R)","$13287248","$6477361","48.75%","Raised over $100k"
"PressleyAyanna Pressley (D)","$2163370","$1041501","48.14%","Raised over $100k"
"McCarthyKevin McCarthy (R)","$27780644","$13373107","48.14%","Raised over $100k"
"KellyMark Kelly (D)","$99846963","$47330956","47.40%","Raised over $100k"
"GrahamLindsey Graham (R)","$108916223","$51550832","47.33%","Raised over $100k"
"MerkleyJeff Merkley (D)","$11298422","$5190671","45.94%","Raised over $100k"
"TlaibRashida Tlaib (D)","$4014411","$1820997","45.36%","Raised over $100k"
"GarciaMike Garcia (R)","$9962507","$4192678","42.08%","Raised over $100k"
"JonesDoug Jones (D)","$30640635","$12840720","41.91%","Raised over $100k"
"KingSteven A. King (R)","$391257","$159565","40.78%","Raised over $100k"
"BiggsAndy Biggs (R)","$1602181","$634093","39.58%","Raised over $100k"
"McConnellMitch McConnell (R)","$71351350","$28085387","39.36%","Raised over $100k"
"CruzTed Cruz (R)","$54749210","$20934481","38.24%","Raised over $100k"
"MastBrian Mast (R)","$6128177","$2341334","38.21%","Raised over $100k"
"BaldwinTammy Baldwin (D)","$34188683","$12890639","37.70%","Raised over $100k"
"McSallyMartha McSally (R)","$71385147","$26890386","37.67%","Raised over $100k"
"CortezCatherine Cortez Masto (D)","$25581311","$9624280","37.62%","Raised over $100k"
"DuckworthTammy Duckworth (D)","$22693164","$8482391","37.38%","Raised over $100k"
"DainesSteven Daines (R)","$32792199","$11913653","36.33%","Raised over $100k"
"PetersGary Peters (D)","$51566900","$18239309","35.37%","Raised over $100k"
"HarrisKamala Harris (D)","$23001808","$8040562","34.96%","Raised over $100k"
"ScaliseSteve Scalise (R)","$37262827","$13009776","34.91%","Raised over $100k"
"CollinsDoug Collins (R)","$6705461","$2331879","34.78%","Raised over $100k"
"PerryScott Perry (R)","$3956481","$1329513","33.60%","Raised over $100k"
"HassanMaggie Hassan (D)","$23700113","$7901643","33.34%","Raised over $100k"
"ReschenthalerGuy Reschenthaler (R)","$2250282","$744185","33.07%","Raised over $100k"
"ScottTim Scott (R)","$16654056","$5391285","32.37%","Raised over $100k"
"WelchPeter Welch (D)","$847320","$273690","32.30%","Raised over $100k"
