people,state,party,senate_years,house_years
"James Abdnor, ",South Dakota,Republican,1981-1987,1973-1981
"Neil Abercrombie, ",Hawaii,Democratic,0,"1985-1987,"
"James Abourezk, ",South Dakota,Democratic,1973-1979,1971-1973
"Ralph Abraham, Lee",Louisiana,Republican,0,2015-2021
"Spencer Abraham, ",Michigan,Republican,1995-2001,0
"Bella Abzug, S.",New York,Democratic,0,1971-1977
"Acevedo-Vila, Commissioner, Anibal",Puerto Rico,Democratic,0,2001-2005
"Gary Ackerman, L.",New York,Democratic,0,1983-2013
"Alma Adams, S.",North Carolina,Democratic,0,2014-Present
"Brock Adams, ",Washington,Democratic,1987-1993,1965-1979
"Sandy Adams, ",Florida,Republican,0,2011-2013
"Joseph Addabbo, P.",New York,Democratic,0,1961-1987
"Robert Aderholt, B.",Alabama,Republican,0,1997-Present
"John Adler, H.",New Jersey,Democratic,0,2009-2011
"Pete Aguilar, ",California,Democratic,0,2015-Present
"George Aiken, ",Vermont,Republican,1941-1975,0
"Daniel Akaka, K.",Hawaii,Democratic,1990-2013,1977-1991
"W. Akin, Todd",Missouri,Republican,0,2001-2013
"Carl Albert, ",Oklahoma,Democratic,0,1947-1977
"Donald Albosta, J.",Michigan,Democratic,0,1979-1985
"Bill Alexander, ",Arkansas,Democratic,0,1969-1993
"Lamar Alexander, ",Tennessee,Republican,2003-2021,0
"Rodney Alexander, ",Louisiana,Republican,0,2003-2013
"Wayne Allard, ",Colorado,Republican,1997-2009,1991-1997
"Clifford Allen, R.",Tennessee,Democratic,0,1975-1979
"George Allen, ",Virginia,Republican,2001-2007,1991-1993
"James Allen, B.",Alabama,Democratic,1969-1979,0
"Maryon Allen, ",Alabama,Democratic,1977-1979,0
"Rick Allen, W.",Georgia,Republican,0,2015-Present
"Thomas Allen, H.",Maine,Democratic,0,1997-2009
"Colin Allred, Z.",Texas,Democratic,0,2019-Present
"Jason Altmire, ",Pennsylvania,Democratic,0,2007-2013
"Justin Amash, ",Michigan,Libertarian,0,2011-2021
"Jerome Ambro, A.",New York,Democratic,0,1975-1981
"Joseph Ammerman, S.",Pennsylvania,Democratic,0,1977-1979
"Mark Amodei, E.",Nevada,Republican,0,2011-Present
"Glenn Anderson, M.",California,Democratic,0,1969-1993
"John Anderson, B.",Illinois,Republican,0,1961-1981
"Wendell Anderson, R.",Minnesota,Democratic,1977-1979,0
"Ike Andrews, ",North Carolina,Democratic,0,1973-1985
"Mark Andrews, ",North Dakota,Republican,1981-1987,1963-1981
"Michael Andrews, ",Texas,Democratic,0,1983-1995
"Robert Andrews, E.",New Jersey,Democratic,0,1989-2014
"Thomas Andrews, H.",Maine,Democratic,0,1991-1995
"Frank Annunzio, ",Illinois,Democratic,0,1965-1993
"Beryl, Anthony, Jr.",Arkansas,Democratic,0,1979-1993
"Douglas Applegate, ",Ohio,Democratic,0,1977-1995
"Bill Archer, ",Texas,Republican,0,1971-2001
"Michael Arcuri, A.",New York,Democratic,0,2007-2011
"Leslie Arends, C.",Illinois,Republican,0,1935-1975
"Richard Armey, K.",Texas,Republican,0,1985-2003
"Kelly Armstrong, ",North Dakota,Republican,0,2019-Present
"William Armstrong, L.",Colorado,Republican,1979-1991,1973-1979
"Jodey Arrington, C.",Texas,Republican,0,2017-Present
"Jean Ashbrook, ",Ohio,Republican,0,1981-1983
"John Ashbrook, M.",Ohio,Republican,0,1961-1983
"John Ashcroft, ",Missouri,Republican,1995-2001,0
"Brad Ashford, ",Nebraska,Democratic,0,2015-2017
