,level_0,transaction_date,ticker,asset_description,type,amount,representative,timestamp,merge_key,people,state,party_x,total_senate_years,total_house_years,total_years,donation_merge_key,name,total_raised,total_from_small_donors,percent_from_small_donors*,total_money_raised,party_y,start,day_30,day_60,day_90,day_180,sp_start,sp_30,sp_60,sp_90,sp_180
0,0,2020-03-18,CBRE,CBRE Group Inc Common Stock Class A,sale_partial,"$1,001 - $15,000",Susie Lee,1584504000,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,35.52000045776367,44.5,39.09000015258789,46.7400016784668,46.90999984741211,2398.10009765625,2874.56005859375,2953.909912109375,3097.739990234375,3340.969970703125
1,1,2020-03-24,CNC,Centene Corporation,purchase,"$1,001 - $15,000",Susie Lee,1585022400,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,48.72999954223633,69.23999786376953,64.83999633789062,63.36000061035156,61.130001068115234,2447.330078125,2797.800048828125,2955.449951171875,3083.760009765625,3319.469970703125
2,2,2020-03-31,DG,Dollar General Corporation,purchase,"$1,001 - $15,000",Susie Lee,1585627200,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,151.00999450683594,175.3000030517578,191.5,189.47999572753906,208.38999938964844,2584.590087890625,2912.429931640625,3055.72998046875,3130.010009765625,3298.4599609375
3,3,2020-02-21,ENV,"Envestnet, Inc",sale_partial,"$1,001 - $15,000",Susie Lee,1582261200,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,78.98999786376953,48.86000061035156,55.400001525878906,70.97000122070312,80.23999786376953,3337.75,2237.39990234375,2799.31005859375,2991.77001953125,3389.780029296875
4,4,2020-03-17,LKQ,LKQ Corporation,sale_partial,"$1,001 - $15,000",Susie Lee,1584417600,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,19.690000534057617,19.84000015258789,23.600000381469727,25.979999542236328,32.15999984741211,2529.18994140625,2799.550048828125,2863.699951171875,3115.340087890625,3340.969970703125
5,5,2020-02-05,NXST,"Nexstar Media Group, Inc. - Class A",sale_partial,"$1,001 - $15,000",Susie Lee,1580878800,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,125.08999633789062,97.8499984741211,58.43000030517578,78.33999633789062,87.6500015258789,3334.68994140625,2972.3701171875,2663.679931640625,2929.800048828125,3271.1201171875
6,6,2020-02-24,OKE,"ONEOK, Inc.",sale_partial,"$1,001 - $15,000",Susie Lee,1582520400,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,75.06999969482422,22.049999237060547,29.200000762939453,37.599998474121094,26.8799991607666,3225.889892578125,2447.330078125,2797.800048828125,3036.1298828125,3397.159912109375
7,7,2020-03-09,OKE,"ONEOK, Inc.",sale_full,"$1,001 - $15,000",Susie Lee,1583726400,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,38.099998474121094,24.280000686645508,29.75,41.97999954223633,26.760000228881836,2746.56005859375,2659.409912109375,2881.18994140625,3190.139892578125,3426.9599609375
8,8,2020-03-16,QSR,Restaurant Brands International Inc. Common Shares,sale_full,"$1,001 - $15,000",Susie Lee,1584331200,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,35.560001373291016,41.66999816894531,51.0099983215332,56.20000076293945,54.5099983215332,2386.1298828125,2783.360107421875,2852.5,3113.489990234375,3340.969970703125
9,9,2020-02-25,COO,"The Cooper Companies, Inc.",sale_full,"$1,001 - $15,000",Susie Lee,1582606800,Susie Lee,Susie Lee,Nevada,Democratic,0,2,2,Susie Lee,Susie Lee,$4748019,$284775,6.00%,Raised over $100k,D,336.45001220703125,256.8900146484375,293.2099914550781,316.6300048828125,301.6000061035156,3128.2099609375,2475.56005859375,2836.739990234375,3029.72998046875,3397.159912109375
