,transaction_date,ticker,asset_description,type,amount,representative
0,2020-02-24,BHC,Bausch Health Companies Inc.,purchase,"$1,001 - $15,000",Susie Lee
1,2020-03-06,BAH,Booz Allen Hamilton Holding Corporation,sale_full,"$1,001 - $15,000",Susie Lee
2,2020-03-23,BYD,Boyd Gaming Corporation,sale_full,"$1,001 - $15,000",Susie Lee
3,2020-02-04,CTLT,"Catalent, Inc.",purchase,"$1,001 - $15,000",Susie Lee
4,2020-03-18,CBRE,CBRE Group Inc Common Stock Class A,sale_partial,"$1,001 - $15,000",Susie Lee
5,2020-03-24,CNC,Centene Corporation,purchase,"$1,001 - $15,000",Susie Lee
6,2020-03-31,DG,Dollar General Corporation,purchase,"$1,001 - $15,000",Susie Lee
7,2020-02-26,DPZ,Domino's Pizza Inc,sale_partial,"$1,001 - $15,000",Susie Lee
8,2020-02-05,DNKN,"Dunkin' Brands Group, Inc.",sale_full,"$1,001 - $15,000",Susie Lee
9,2020-02-24,ENV,"Envestnet, Inc",sale_full,"$1,001 - $15,000",Susie Lee
10,2020-02-21,ENV,"Envestnet, Inc",sale_partial,"$1,001 - $15,000",Susie Lee
11,2020-03-06,AQUA,Evoqua Water Technologies Corp.,purchase,"$1,001 - $15,000",Susie Lee
12,2020-03-17,LKQ,LKQ Corporation,sale_partial,"$1,001 - $15,000",Susie Lee
13,2020-02-24,MAS,Masco Corporation,purchase,"$1,001 - $15,000",Susie Lee
14,2020-02-05,NXST,"Nexstar Media Group, Inc. - Class A",sale_partial,"$1,001 - $15,000",Susie Lee
15,2020-02-24,OKE,"ONEOK, Inc.",sale_partial,"$1,001 - $15,000",Susie Lee
16,2020-03-09,OKE,"ONEOK, Inc.",sale_full,"$1,001 - $15,000",Susie Lee
17,2020-02-24,PANW,"Palo alto Networks, Inc.",sale_full,"$1,001 - $15,000",Susie Lee
18,2020-03-06,RP,"RealPage, Inc.",sale_full,"$1,001 - $15,000",Susie Lee
19,2020-03-16,QSR,Restaurant Brands International Inc. Common Shares,sale_full,"$1,001 - $15,000",Susie Lee
20,2020-02-05,QSR,Restaurant Brands International Inc. Common Shares,purchase,"$1,001 - $15,000",Susie Lee
21,2020-03-24,SCI,Service Corporation International,sale_partial,"$1,001 - $15,000",Susie Lee
22,2020-02-25,COO,"The Cooper Companies, Inc.",sale_full,"$1,001 - $15,000",Susie Lee
23,2020-02-24,UNVR,Univar Solutions Inc.,sale_full,"$1,001 - $15,000",Susie Lee
24,2020-03-17,USFD,US Foods Holding Corp.,sale_partial,"$1,001 - $15,000",Susie Lee
25,2020-02-25,MTN,"Vail Resorts, Inc.",sale_full,"$1,001 - $15,000",Susie Lee
26,2020-02-26,VLO,Valero Energy Corporation,sale_full,"$1,001 - $15,000",Susie Lee
27,2020-02-18,WAB,Westinghouse air Brake Technologies Corporation,sale_full,"$1,001 - $15,000",Susie Lee
28,2020-03-18,WH,"Wyndham Hotels & Resorts, Inc.",sale_full,"$1,001 - $15,000",Susie Lee
29,2020-03-17,WH,"Wyndham Hotels & Resorts, Inc.",sale_partial,"$1,001 - $15,000",Susie Lee
30,2020-02-05,XPO,"XPO Logistics, Inc.",sale_partial,"$1,001 - $15,000",Susie Lee
31,2020-03-16,BRK.B,Berkshire Hathaway Inc. New,sale_full,"$1,001 - $15,000",Alan S. Lowenthal
32,2020-03-13,BSX,Boston Scientific Corporation,sale_partial,"$1,001 -",Alan S. Lowenthal
33,2020-03-13,SPCE,"Virgin Galactic Holdings, Inc.",sale_partial,"$1,001 -",Alan S. Lowenthal
34,2020-08-17,--,Metallic Minerals Corp.,sale_partial,"$100,001 - $250,000",J John (Tj) Cox
35,2021-01-27,--,Zimmer Biomet Holdings,sale_partial,"$1,001 - $15,000",Alan S. Lowenthal
36,2021-02-08,--,Zimmer Biomet Holdings,sale_full,"$1,001 - $15,000",Alan S. Lowenthal
37,2021-02-08,--,Zimmer Biomet Holdings,purchase,"$1,001 - $15,000",Alan S. Lowenthal
38,2021-02-04,DD,"DuPont De Nemours, Inc",sale_full,"$1,001 - $15,000",Alan S. Lowenthal
39,2021-02-19,--,Celegene Corp,sale_full,"$15,001 - $50,000",Alan S. Lowenthal
40,2021-02-16,--,Outfront Media,sale_full,"$15,001 - $50,000",Alan S. Lowenthal
41,2021-03-15,COLD,Americold Realty Trust Common Shares,sale_full,"$1,001 - $15,000",Alan S. Lowenthal
42,2021-03-15,COLD,Americold Realty Trust Common Shares,sale_full,"$1,001 - $15,000",Alan S. Lowenthal
43,2021-03-11,ADBE,Adobe Inc,purchase,"$1,001 - $15,000",Alan S. Lowenthal
44,2021-03-12,COLD,Americold Realty Trust Common Shares,sale_partial,"$1,001 - $15,000",Alan S. Lowenthal
45,2021-03-15,COLD,Americold Realty Trust Common Shares,sale_full,"$15,001 - $50,000",Alan S. Lowenthal
46,2021-03-11,NVDA,NVIDIA Corporation,purchase,"$1,001 - $15,000",Alan S. Lowenthal
47,2021-01-22,DUK,Duke Energy Corpoation,purchase,"$1,001 - $15,000",Mo Brooks
48,2021-01-22,LEE,"Lee Enterprises, Inc.",sale_full,"$1,001 - $15,000",Mo Brooks
49,2021-01-22,LEE,"Lee Enterprises, Inc.",sale_full,"$1,001 - $15,000",Mo Brooks
50,2020-11-24,LEE,"Lee Enterprises, Inc.",purchase,"$1,001 - $15,000",Mo Brooks
51,2021-01-21,--,Spectra Energy Capital LLC,sale_full,"$1,001 - $15,000",Mo Brooks
52,2020-12-01,VTRS,Vitatris Inc.,sale_full,"$1,001 - $15,000",Mo Brooks
53,2021-01-12,GM,General Motors Company,purchase,"$1,001 -",Alan S. Lowenthal
54,2021-01-12,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Alan S. Lowenthal
55,2021-01-14,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Alan S. Lowenthal
56,2021-01-15,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Alan S. Lowenthal
57,2021-01-11,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Alan S. Lowenthal
58,2021-01-12,GM,General Motors Company,purchase,"$1,001 - $15,000",Alan S. Lowenthal
59,2021-01-12,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Alan S. Lowenthal
60,2021-01-14,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 -",Alan S. Lowenthal
61,2021-01-11,GIS,General Mills,sale_full,"$1,001 - $15,000",Alan S. Lowenthal
62,2021-01-12,GM,General Motors Company,purchase,"$1,001 -",Alan S. Lowenthal
